,,,
A change log showing journals withdrawn from DOAJ from 19th March 2014 to 31st January 2024,,,
,,,
A new change log is available. This spreadsheet is no longer updated.,,,
,,,
,,,
Journal Title,ISSN,Date Removed (dd/mm/yyyy),Reason
International Journal of Computer Science and Security ,1985-1553,10-Oct-2016,Journal not adhering to Best practice
Signal Processing : An International Journal ,1985-2339,10-Oct-2016,Journal not adhering to Best practice
International Journal of Computer Networks ,1985-4129,10-Oct-2016,Journal not adhering to Best practice
International Journal of Security ,1985-2320,10-Oct-2016,Journal not adhering to Best practice
International Journal of Artificial Intelligence and Expert Systems ,2180-124X,10-Oct-2016,Journal not adhering to Best practice
"Vestnik Moskovskogo Universiteta. Serija 2, Chimija",0579-9384,1-Oct-2016,Journal not adhering to Best practice
Journal of Atrial Fibrillation,1809-6867,30-Sep-2016,Journal not adhering to Best practice
Military and Strategic Affairs,2307-793X,15-Sep-2016,Journal not adhering to Best practice
"Journal of Public Administration, Finance and Law",2285-2204,19-May-2016,Journal not adhering to Best practice
Studii si Cercetari Filologice : Seria Limbi Romanice,1843-3979,9-May-2016,Journal not adhering to Best practice
Electronic Journal of Plant Breeding,0975-928X,20-Jul-2016,Journal not adhering to Best practice
Annals of Environmental Science,1939-2621,25-Apr-2016,Journal not adhering to Best practice
Global Media Journal : Persian Edition,2008-0468,8-Sep-2016,Journal not adhering to Best practice
Ignaziana : Rivista di Ricerca Teologica,1828-2377,15-Sep-2016,Journal not adhering to Best practice
Translational Developmental Psychiatry,2001-7022,25-May-2016,Journal not adhering to Best practice
Minerva : an Internet Journal of Philosophy,1393-614X,16-May-2016,Journal not adhering to Best practice
Journal of Alternative Perspectives in the Social Sciences,1944-1088,12-May-2016,Journal not adhering to Best practice
Net Journal of Agricultural Science,2315-9766,12-May-2016,Journal not adhering to Best practice
theHealth,2218-3299,12-May-2016,Journal not adhering to Best practice
"Applied Mathematics in Engineering, Management and Technology",2322-5572,12-May-2016,Journal not adhering to Best practice
Infopreneurship Journal,2345-265X,12-May-2016,Journal not adhering to Best practice
International Journal of Advanced Networking and Applications,0975-0290,12-May-2016,Journal not adhering to Best practice
ARPN Journal of Systems and Software ,2222-9833,12-May-2016,Journal not adhering to Best practice
International Journal on Research and Development : A Management Review,2319-5479,12-May-2016,Journal not adhering to Best practice
International Journal of Computer Science and Network,2277-5420,12-May-2016,Journal not adhering to Best practice
Family Medicine,0742-3225,12-May-2016,Journal not adhering to Best practice
Chemical Science Transactions,2278-3318,12-May-2016,Journal not adhering to Best practice
International Journal of Networking and Computing,2185-2839,12-May-2016,Journal not adhering to Best practice
International Journal of Electronic Commerce Studies,2073-9729,12-May-2016,Journal not adhering to Best practice
Global Media Journal : African Edition,2073-2740,12-May-2016,Journal not adhering to Best practice
Banat’s Journal of Biotechnology,2068-4673,12-May-2016,Journal not adhering to Best practice
Outlines : Critical Practice Studies,1399-5510,9-May-2016,Journal not adhering to Best practice
International Journal of Women's Health and Reproduction Sciences,2330-4456,6-Apr-2016,Journal not adhering to Best practice
Revista Brasileira de Medicina de Família e Comunidade,1809-5909,6-Apr-2016,Journal not adhering to Best practice
International Research Journal of Applied Finance,2229-6891,6-Apr-2016,Journal not adhering to Best practice
"Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental ",2236-1170,6-Apr-2016,Journal not adhering to Best practice
Rwanda Medical Journal,2079-097X,6-Apr-2016,Journal not adhering to Best practice
International Journal of Occupational Hygiene,2008-5109,6-Apr-2016,Journal not adhering to Best practice
Navegações : Revista de Cultura e Literaturas de Língua Portuguesa,1982-8527,6-Apr-2016,Journal not adhering to Best practice
New Proposals : Journal of Marxism and Interdisciplinary Inquiry,1715-6718,29-Jan-2016,Journal not adhering to Best practice
Slovo : Journal of Slavic Languages and Literatures,0348-744X,19-Jan-2016,Journal not adhering to Best practice
International Journal of Pharmaceutical Sciences and Drug Research,0975-248X,13-Jan-2016,Journal not adhering to Best practice
International Journal of Medical Education,2042-6372,13-Jan-2016,Journal not adhering to Best practice
"International Journal of Design, Analysis and Tools for Integrated Circuits and Systems",2223-523X,13-Jan-2016,Journal not adhering to Best practice
Activities in Physical Education and Sports,1857-7687,12-Jan-2016,Journal not adhering to Best practice
Journal of American Physicians and Surgeons,1543-4826,6-Apr-2016,Journal not adhering to Best practice
Bulletin (new series) of the American Mathematical Society,0273-0979,21-Mar-2016,Journal not adhering to Best practice
International Journal of Bio-Science and Bio-Technology,2233-7849,10-Oct-2016,No OA or licence info
SMAD: Revista Eletrônica Saúde Mental Álcool e Drogas,1806-6976,24-Aug-2016,Journal not adhering to Best practice
Perspectivas Online : Biológicas e Saúde,2236-8868,24-Aug-2016,Journal not adhering to Best practice
Geografias,1808-8058,24-Aug-2016,Journal not adhering to Best practice
"Journal of Microwaves, Optoelectronics and Electromagnetic Applications",2179-1074,10-Aug-2016,Journal not adhering to Best practice
Geotextos : Revista da Pós-Graduação em Geografia da Universidade Federal da Bahia,1809-189X,10-Oct-2016,Journal not adhering to Best practice
Inquietude : Revista dos Estudantes de Filosofia da UFG,2177-4838,7-Aug-2016,Journal not adhering to Best practice
Geografia Ensino & Pesquisa,0103-1538,10-Oct-2016,Journal not adhering to Best practice
Tekhne e Logos,2176-4808,10-Oct-2016,Journal not adhering to Best practice
Mediaciones Sociales,1989-0494,10-Oct-2016,Journal not adhering to Best practice
Organizações Rurais & Agroindustriais,1517-3879,10-Oct-2016,Journal not adhering to Best practice
"Educação, Formação & Tecnologias",1646-933X,10-Oct-2016,Journal not adhering to Best practice
Comuni@ccion: Revista de Investigación en Comunicación y Desarrollo,2219-7168,10-Oct-2016,Journal not adhering to Best practice
International Research: Journal of Library and Information Science,2249-0213,9-Oct-2016,Journal not adhering to Best practice
International Journal of Computer Technology and Applications ,2229-6093,9-Oct-2016,Journal not adhering to Best practice
"Panace@ : Revista de Medicina, Lenguaje y Traducción",1537-1964,9-Oct-2016,Journal not adhering to Best practice
Cadernos de Estudos Sociais e Políticos,2238-3425,8-Oct-2016,Journal not adhering to Best practice
Cuadernos Electrónicos de Filosofía del Derecho,1138-9877,8-Oct-2016,Journal not adhering to Best practice
Anuari de Filologia: Estudis de Lingüística,2014-1408,8-Oct-2016,Journal not adhering to Best practice
Journal of Applied Biosciences,1997-5902,7-Oct-2016,Journal not adhering to Best practice
Anuario Americanista Europeo,2221-3872,7-Oct-2016,Has not published enough articles this calendar year
Cuadernos Kóre,1889-9285,6-Oct-2016,Has not published enough articles this calendar year
International Journal of Research in Chemistry and Environment,2248-9649,6-Oct-2016,Journal not adhering to Best practice
Temas Americanistas,1988-7868,6-Oct-2016,No OA or licence info
Journal of Management and Science,2250-1819,6-Oct-2016,Journal not adhering to Best practice
International Research Journal of Chemistry,2321-2845,6-Oct-2016,Journal not adhering to Best practice
Revista de Osteoporosis y Metabolismo Mineral,1889-836X,6-Oct-2016,No OA or licence info
Journal of Iberian Geology,1698-6180,6-Oct-2016,Journal not adhering to Best practice
Journal of Advanced Computer Science & Technology,2227-4332,6-Oct-2016,Journal not adhering to Best practice
The Iraqi Journal of Veterinary Medicine,2410-7409,6-Oct-2016,Journal not adhering to Best practice
Historical Kan Periodical ,2090-0449,6-Oct-2016,Requires user registration
Journal of Nutritional Health & Food Science,2372-0980,5-Oct-2016,use of fake impact factor
SportLogia,1986-6089,4-Oct-2016,Journal not adhering to Best practice
Reviews on Advanced Materials Science,1605-8127,4-Oct-2016,Journal not adhering to Best practice
Vestnik Volgogradskogo Gosudarstvennogo Arhitekturno-Stroitelnogo Universiteta. Seriya: Stroitelstvo i Arhitektura ,1815-4360,4-Oct-2016,Journal not adhering to Best practice
"Lingua Romana : a Journal of French, Italian and Romanian Culture",1551-4730,30-Sep-2016,Journal not adhering to Best practice
Chronic Diseases and Injuries in Canada,1925-6515,30-Sep-2016,Journal not adhering to Best practice
Revue d’Études Benthamiennes,1760-7507,30-Sep-2016,Journal not adhering to Best practice
Balkanologie : Revue d'Etudes Pluridisciplinaires,1279-7952,30-Sep-2016,Journal not adhering to Best practice
Revue de Recherche en Civilisation Américaine,2101-048X,30-Sep-2016,Journal not adhering to Best practice
"Amerika : Mémoires, Identités, Territoires",2107-0806,30-Sep-2016,Journal not adhering to Best practice
International Journal of Innovation and Applied Studies,2028-9324,29-Sep-2016,Journal not adhering to Best practice
Psychoterapia,2391-5862,29-Sep-2016,No OA or licence info
,,,
Research in the History of Technology,2079-2999,27-Sep-2016,No OA or licence info
Electronic Journal of Vedic Studies,1084-7561,27-Sep-2016,Journal not adhering to Best practice
Bulletin de l’Institut Scientifique : Section Sciences de la Terre,1114-6834,27-Sep-2016,Journal not adhering to Best practice
Pyramides : Revue du Centre d'Etudes et de Recherches en Administration Publique,1376-098X﻿,27-Sep-2016,Journal not adhering to Best practice
BABELAO : Electronic Journal for Ancient and Oriental Studies,2034-9491,27-Sep-2016,Journal not adhering to Best practice
Himiâ Rastitelʹnogo Syrʹâ,1029-5151,26-Sep-2016,No licence info
Recherche et Pratiques Pédagogiques en Langues de Spécialité : Cahiers de l'APLIUT,2257-5405,26-Sep-2016,Journal not adhering to Best practice
Annual Review of the Faculty of Philosophy,0374-0730,25-Sep-2016,No OA or licence info
Prilozi Proučavanju Jezika ,0555-1137,25-Sep-2016,No OA or licence info
Metodički Vidici,2217-415X,25-Sep-2016,No OA or licence info
Zbornik za Jezike i Književnosti Filozofskog Fakulteta u Novom Sadu,2217-8546,25-Sep-2016,No OA or licence info
Istraživanja,0350-2112,25-Sep-2016,No OA or licence info
La Révolution Française : Cahiers de l’Institut d’Histoire de la Révolution Française,2105-2557,25-Sep-2016,Journal not adhering to Best practice
"Revue de la Régulation : Capitalisme, Institutions, Pouvoirs",1957-7796,24-Sep-2016,Journal not adhering to Best practice
Colombia Forestal,0120-0739,23-Sep-2016,Journal not adhering to Best practice
Revista Filosofia Capital,1982-6613,23-Sep-2016,Journal not adhering to Best practice
Brazilian Journalism Research,1808-4079,23-Sep-2016,Journal not adhering to Best practice
Revista Colombiana de Educación,0120-3916,23-Sep-2016,Journal not adhering to Best practice
Dilemas: Revista de Estudos de Conflito e Controle Social,1983-5922,23-Sep-2016,Journal not adhering to Best practice
Anagnórisis : Revista de Investigación Teatral,2013-6986,23-Sep-2016,Journal not adhering to Best practice
Neuropsicología Latinoamericana,2075-9479,23-Sep-2016,Journal not adhering to Best practice
Orinoquia,0121-3709,23-Sep-2016,Journal not adhering to Best practice
Relaciones Internacionales,1699-3950,23-Sep-2016,Journal not adhering to Best practice
DILEMATA : Revista Internacional de Éticas Aplicadas,1989-7022,22-Sep-2016,Journal not adhering to Best practice
Estudios de Lingüística Española,1139-8736,22-Sep-2016,Journal not adhering to Best practice
Dilemata,1989-7022,22-Sep-2016,Journal not adhering to Best practice
Boletín SAO,0123-9082,22-Sep-2016,Journal not adhering to Best practice
En Blanco y Negro,2221-8874,22-Sep-2016,Journal not adhering to Best practice
"Memorias de la Conferencia Interna en Medicina y Aprovechamiento de Fauna Silvestre, Exótica y no Convencional",2011-9348,22-Sep-2016,Journal not adhering to Best practice
Revista Emancipação,1519-7611,22-Sep-2016,Journal not adhering to Best practice
Boletín de Ciencias de la Tierra,0120-3630,22-Sep-2016,Journal not adhering to Best practice
Revista CES Psicología,2011-3080,22-Sep-2016,Journal not adhering to Best practice
MATRIZes : Revista do Programa de Pós-Graduação em Comunicação da Universidade de São Paulo,1982-2073,22-Sep-2016,Journal not adhering to Best practice
Mediaobrazovanie,1994-4160,22-Sep-2016,Journal not adhering to Best practice
Comunicata Scientiae,2176-9079,22-Sep-2016,Journal not adhering to Best practice
RTejournal - Forum für Rapid Technologie,1614-0923,22-Sep-2016,Journal is not Open Access
Teoriâ i Praktika Obŝestvennogo Razvitiâ ,1815-4964,22-Sep-2016,Journal is not Open Access
International Journal of Research and Development in Pharmacy and Life Sciences,2278-0238,21-Sep-2016,Journal not adhering to Best practice
Journal of Achievements in Materials and Manufacturing Engineering,2300-892X,21-Sep-2016,application form no info
Acta Physica Polonica A,1898-794X,21-Sep-2016,not Open Access
Micología Aplicada Internacional,1534-2581,20-Sep-2016,Journal not adhering to Best practice
International Journal of Medicine and Biomedical Research,2315-5019,19-Sep-2016,Journal not adhering to Best practice
Genome Integrity ,2041-9414,19-Sep-2016,Has not published enough articles this calendar year
Oftalʹmohirurgiâ,0235-4160,17-Sep-2016,Web site URL no longer works
"Transcontinentales : Sociétés, Idéologies, Système Mondial",1950-1684,15-Sep-2016,Journal not adhering to Best practice
